[[0, 0, 0, 3], [0, 4, 0, 0], [0, 0, 5, 0], [0, 0, 0, 0]]
[[4, 4, 3, 3], [4, 4, 5, 3], [4, 4, 5, 5], [4, 4, 5, 5]]
[[0, 0, 8, 0], [8, 0, 0, 0], [0, 0, 0, 0], [0, 0, 4, 0]]
[[8, 8, 8, 8], [8, 8, 8, 8], [4, 4, 4, 4], [4, 4, 4, 4]]
[[0, 0, 0, 0], [8, 0, 0, 4], [0, 0, 0, 0], [0, 8, 0, 0]]
[[8, 8, 4, 4], [8, 8, 4, 4], [8, 8, 4, 4], [8, 8, 4, 4]]
[[0, 4, 0, 0], [0, 0, 0, 0], [0, 0, 0, 8], [0, 8, 0, 0]]
[[4, 4, 4, 4], [4, 4, 4, 4], [8, 8, 8, 8], [8, 8, 8, 8]]
[[0, 0, 8, 0], [0, 0, 0, 0], [4, 0, 0, 8], [0, 0, 0, 0]]
[[4, 4, 8, 8], [4, 4, 8, 8], [4, 4, 8, 8], [4, 4, 8, 8]]
[[0, 0, 4, 0], [0, 0, 0, 0], [8, 0, 0, 0], [0, 0, 8, 0]]
[[4, 4, 4, 4], [4, 4, 4, 4], [8, 8, 8, 8], [8, 8, 8, 8]]
[[0, 0, 0, 0], [4, 0, 0, 8], [0, 0, 0, 0], [0, 0, 8, 0]]
[[4, 4, 8, 8], [4, 4, 8, 8], [4, 4, 8, 8], [4, 4, 8, 8]]
[[0, 8, 0, 0], [0, 0, 0, 8], [0, 0, 0, 0], [0, 4, 0, 0]]
[[8, 8, 8, 8], [8, 8, 8, 8], [4, 4, 4, 4], [4, 4, 4, 4]]
[[0, 8, 0, 0], [0, 0, 0, 0], [8, 0, 0, 4], [0, 0, 0, 0]]
[[8, 8, 4, 4], [8, 8, 4, 4], [8, 8, 4, 4], [8, 8, 4, 4]]
[[0, 0, 0, 0], [0, 8, 7, 0], [0, 0, 0, 0], [0, 0, 1, 0]]
[[8, 8, 7, 7], [8, 8, 7, 7], [8, 8, 7, 7], [8, 8, 1, 7]]
[[0, 0, 0, 0], [0, 7, 0, 1], [0, 8, 0, 0], [0, 0, 0, 0]]
[[7, 7, 7, 7], [7, 7, 7, 1], [8, 8, 8, 8], [8, 8, 8, 8]]
[[0, 1, 0, 0], [0, 0, 0, 0], [0, 7, 8, 0], [0, 0, 0, 0]]
[[7, 1, 8, 8], [7, 7, 8, 8], [7, 7, 8, 8], [7, 7, 8, 8]]
[[0, 0, 0, 0], [0, 0, 8, 0], [1, 0, 7, 0], [0, 0, 0, 0]]
[[8, 8, 8, 8], [8, 8, 8, 8], [1, 7, 7, 7], [7, 7, 7, 7]]
[[0, 0, 1, 0], [0, 0, 0, 0], [0, 8, 7, 0], [0, 0, 0, 0]]
[[8, 8, 1, 7], [8, 8, 7, 7], [8, 8, 7, 7], [8, 8, 7, 7]]
[[0, 0, 0, 0], [1, 0, 7, 0], [0, 0, 8, 0], [0, 0, 0, 0]]
[[7, 7, 7, 7], [1, 7, 7, 7], [8, 8, 8, 8], [8, 8, 8, 8]]
[[0, 0, 0, 0], [0, 7, 8, 0], [0, 0, 0, 0], [0, 1, 0, 0]]
[[7, 7, 8, 8], [7, 7, 8, 8], [7, 7, 8, 8], [7, 1, 8, 8]]
[[0, 0, 0, 0], [0, 8, 0, 0], [0, 7, 0, 1], [0, 0, 0, 0]]
[[8, 8, 8, 8], [8, 8, 8, 8], [7, 7, 7, 1], [7, 7, 7, 7]]
